tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s,render_offset_mm,render_offset_deg
1641430,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109368,3081906,0,233,140000,0,0
1641432,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109344,3095906,0,233,140000,0,0
1641434,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109321,3109906,0,233,140000,0,0
1641436,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109298,3123906,0,233,140000,0,0
1641438,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109275,3137906,0,233,140000,0,0
1641440,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109251,3151906,0,233,140000,0,0
1641442,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109228,3165906,0,233,140000,0,0
1641444,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109205,3179906,0,233,140000,0,0
1641446,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109181,3193906,0,233,140000,0,0
1641448,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109158,3207906,0,233,140000,0,0
1641450,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109135,3221906,0,233,140000,0,0
1641452,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109112,3235906,0,233,140000,0,0
1641454,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109088,3249906,0,233,140000,0,0
1641456,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109065,3263906,0,233,140000,0,0
1641458,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109042,3277906,0,233,140000,0,0
1641460,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-109019,3291906,0,233,140000,0,0
1641462,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108995,3305906,0,233,140000,0,0
1641464,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108972,3319906,0,233,140000,0,0
1641466,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108949,3333906,0,233,140000,0,0
1641468,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108925,3347906,0,233,140000,0,0
1641470,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108902,3361906,0,233,140000,0,0
1641472,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108879,3375906,0,233,140000,0,0
1641474,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108856,3389906,0,233,140000,0,0
1641476,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108832,3403906,0,233,140000,0,0
1641478,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108809,3417906,0,233,140000,0,0
1641480,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108786,3431906,0,233,140000,0,0
1641482,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108763,3445906,0,233,140000,0,0
1641484,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108739,3459906,0,233,140000,0,0
1641486,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108716,3473906,0,233,140000,0,0
1641488,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108693,3487906,0,233,140000,0,0
1641490,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108669,3501906,0,233,140000,0,0
1641492,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108646,3515906,0,233,140000,0,0
1641494,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108623,3529906,0,233,140000,0,0
1641496,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108600,3543906,0,233,140000,0,0
1641498,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108576,3557906,0,233,140000,0,0
1641500,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108553,3571906,0,233,140000,0,0
1641502,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108530,3585906,0,233,140000,0,0
1641504,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108507,3599906,0,233,140000,0,0
1641506,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108483,3613906,0,233,140000,0,0
1641508,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108460,3627906,0,233,140000,0,0
1641510,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108437,3641906,0,233,140000,0,0
1641512,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108413,3655906,0,233,140000,0,0
1641514,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108390,3669906,0,233,140000,0,0
1641516,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108367,3683906,0,233,140000,0,0
1641518,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108344,3697906,0,233,140000,0,0
1641520,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108320,3711906,0,233,140000,0,0
1641522,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108297,3725906,0,233,140000,0,0
1641524,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108274,3739906,0,233,140000,0,0
1641526,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108251,3753906,0,233,140000,0,0
1641528,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108227,3767905,0,233,140000,0,0
1641530,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108204,3781905,0,233,140000,0,0
1641532,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108181,3795905,0,233,140000,0,0
1641534,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108157,3809905,0,233,140000,0,0
1641536,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108134,3823905,0,233,140000,0,0
1641538,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108111,3837905,0,233,140000,0,0
1641540,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108088,3851905,0,233,140000,0,0
1641542,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108064,3865905,0,233,140000,0,0
1641544,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108041,3879905,0,233,140000,0,0
1641546,01a0b1c2-b010-7000-8000-000000000000,01a0d920-b540-73ae-8e18-b25eb305279f,ACTIVE,0,-108018,3893905,0,233,140000,0,0
