tick,observer_actor_id,ship_id,presence,px_mm,py_mm,pz_mm,vx_mm_s,vy_mm_s,vz_mm_s
366208,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-110052,2670089,0,236,115186
366208,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473637,247762,197224,-62,-3,117876
366208,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155548,-248974,-1154211,328,30,81794
366208,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2489061,248997,6716,19493,-1668,21522
366210,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-110033,2681870,0,197,118686
366210,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473632,247762,209274,-49,-2,121376
366210,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155520,-248971,-1145769,261,24,85294
366210,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2487111,248833,9178,19458,-1627,25654
366212,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-110013,2694002,0,203,122186
366212,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473628,247762,221674,-38,-2,124876
366212,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155498,-248969,-1136978,207,19,88795
366212,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2485204,248676,12051,18906,-1545,29748
366214,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109992,2706483,0,209,125686
366214,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473625,247762,234425,-30,-1,128376
366214,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155481,-248968,-1127836,164,15,92295
366214,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2483383,248530,15327,17947,-1433,33767
366216,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109970,2719314,0,215,129186
366216,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473622,247762,247525,-24,-1,131876
366216,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155467,-248967,-1118344,130,12,95795
366216,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2481681,248396,19000,16682,-1302,37700
366218,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109949,2732495,0,221,132686
366218,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473620,247762,260975,-18,-1,135376
366218,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155456,-248966,-1108502,103,9,99295
366218,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2480124,248277,23059,15189,-1158,41552
366220,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109926,2746026,0,226,136186
366220,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473619,247762,274775,-14,-1,138876
366220,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155447,-248965,-1098310,81,7,102795
366220,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2478729,248173,27498,13525,-1006,45333
366222,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109903,2759907,0,232,139686
366222,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473617,247762,288775,-11,0,140000
366222,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155440,-248964,-1087768,64,6,106295
366222,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2477510,248084,32311,11731,-849,49054
366224,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109880,2773907,0,233,140000
366224,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473617,247762,302775,-8,0,140000
366224,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155435,-248964,-1076876,51,4,109795
366224,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2476478,248011,37492,9840,-691,52727
366226,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109856,2787907,0,233,140000
366226,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473616,247762,316775,-6,0,140000
366226,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155431,-248963,-1065634,40,3,113295
366226,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2475641,247953,43037,7876,-534,56361
366228,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109833,2801907,0,233,140000
366228,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473615,247762,330775,-5,0,140000
366228,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155427,-248963,-1054042,31,3,116795
366228,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2475005,247912,48944,5857,-378,59965
366230,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109810,2815907,0,233,140000
366230,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473615,247762,344775,-4,0,140000
366230,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e0e7-71af-8b1d-ca2cf5125531,ACTIVE,-2155425,-248963,-1042100,25,2,120295
366230,01a0b1c2-b010-7000-8000-000000000000,01a0c441-e5c9-76eb-a77b-de784cb71f6a,ACTIVE,-2474573,247885,55209,3795,-226,63545
366232,01a0b1c2-b010-7000-8000-000000000000,01a0c441-d723-767b-90a3-bdbdd004e863,ACTIVE,0,-109787,2829907,0,233,140000
366232,01a0b1c2-b010-7000-8000-000000000000,01a0c441-dc05-7521-a2e5-cffdd63883ba,ACTIVE,2473615,247762,358775,-3,0,140000
