t_s,avail_bytes
166.032,4486
166.141,4486
166.25,4486
166.36,4486
166.454,4486
166.563,4486
166.672,4486
166.782,4486
166.891,4486
167.0,4486
167.11,4486
167.204,4486
167.313,4486
167.422,4486
167.532,4486
167.641,4486
167.735,4486
167.844,4486
167.954,4486
168.063,4486
168.172,4486
168.266,4486
168.375,4486
168.485,4486
168.594,4486
168.704,4486
168.813,4486
168.907,4486
169.016,4486
169.125,4486
169.235,4486
169.344,4486
169.454,4486
169.547,4486
169.657,4486
169.766,4486
169.875,4486
169.985,4486
170.094,4486
170.188,4486
170.297,4486
170.407,4486
170.516,4486
170.625,4486
170.735,4486
170.829,4486
170.938,4486
171.047,4486
171.157,4486
171.266,4486
171.375,4486
171.469,4486
171.579,4486
171.688,4486
171.797,4486
171.907,4486
172.016,4486
172.11,4486
172.219,4486
172.329,4486
172.438,4486
172.547,4486
172.657,4486
172.75,4486
172.86,4486
172.969,4486
173.079,4486
173.188,4486
173.282,4486
173.391,4486
173.5,4486
173.61,4486
173.719,4486
173.829,4486
173.922,4486
174.032,4486
174.141,4486
174.25,4486
174.36,4486
174.469,4486
174.579,4486
174.672,4486
174.782,4486
174.891,4486
175.0,4486
175.11,4486
175.219,4486
175.313,4486
175.422,4486
175.532,4486
175.641,4486
175.75,4486
175.86,4486
175.954,4486
176.063,4486
176.172,4486
176.282,4486
176.391,4486
176.5,4486
176.594,4486
176.704,4486
176.813,4486
176.922,4486
177.032,4486
177.141,4486
177.25,4486
177.344,4486
177.454,4486
177.563,4486
177.672,4486
177.782,4486
177.891,4486
177.985,4486
178.094,4486
178.204,4486
178.313,4486
178.422,4486
178.532,4486
178.625,4486
178.735,4486
178.844,4486
178.954,4486
179.063,4486
179.172,4486
179.266,4486
179.375,4486
179.485,4486
179.594,4486
179.704,4486
179.813,4486
179.907,4486
180.016,4486
180.125,4486
180.235,4486
180.344,4486
180.438,4486
180.547,4486
180.657,4486
180.766,4486
180.875,4486
180.969,4486
181.079,4486
181.188,4486
181.297,4486
181.407,4486
181.5,4486
181.61,4486
181.719,4486
181.829,4486
181.938,4486
182.047,4486
182.157,4486
182.25,4486
182.36,4486
182.469,4486
182.579,4486
182.688,4486
182.782,4486
182.891,4486
183.0,4486
183.11,4486
183.219,4486
183.313,4486
183.422,4486
183.532,4486
183.641,4486
183.75,4486
183.86,4486
183.954,4486
184.063,4486
184.172,4486
184.282,4486
184.391,4486
184.5,4486
184.594,4486
184.704,4486
184.813,4486
184.922,4486
185.032,4486
185.141,4486
185.25,4486
185.344,4486
185.454,4486
185.563,4486
185.672,4486
185.782,4486
185.875,4486
185.985,4486
186.094,4486
186.204,4486
186.313,4486
186.407,4486
186.516,4486
186.625,4486
186.735,4486
186.844,4486
186.954,4486
187.047,4486
187.157,4486
187.266,4486
187.375,4486
187.485,4486
187.594,4486
187.688,4486
187.797,4486
187.907,4486
188.016,4486
188.125,4486
188.235,4486
188.329,4486
188.438,4486
188.547,4486
188.657,4486
188.766,4486
188.875,4486
188.969,4486
189.079,4486
189.188,4486
189.297,4486
189.407,4486
189.516,4486
189.61,4486
189.719,4486
189.829,4486
189.938,4486
190.047,4486
190.157,4486
190.25,4486
190.36,4486
190.469,4486
190.579,4486
190.688,4486
190.782,4486
190.891,4486
191.0,4486
191.11,4486
191.219,4486
191.313,4486
191.422,4486
191.532,4486
191.641,4486
191.75,4486
191.86,4486
191.969,4486
192.063,4486
192.172,4486
192.282,4486
192.391,4486
192.5,4486
192.61,4486
192.719,4486
192.813,4486
192.922,4486
193.032,4486
193.141,4486
193.25,4486
193.344,4486
193.454,4486
193.563,4486
193.672,4486
193.782,4486
193.891,4486
194.0,4486
194.094,4486
194.204,4486
194.313,4486
194.422,4486
194.532,4486
194.641,4486
194.75,4486
194.844,4486
194.954,4486
195.063,4486
195.172,4486
195.282,4486
195.391,4486
195.485,4486
195.594,4486
195.704,4486
195.813,4486
195.922,4486
196.032,4486
196.125,4486
196.235,4486
196.344,4486
196.454,4486
196.563,4486
196.672,4486
196.782,4486
196.875,4486
196.985,4486
197.094,4486
197.204,4486
197.313,4486
197.407,4486
197.516,4486
197.625,4486
197.735,4486
197.844,4486
197.938,4486
198.047,4486
198.157,4486
198.266,4486
198.375,4486
198.469,4486
198.579,4486
198.688,4486
198.797,4486
198.907,4486
199.016,4486
199.125,4486
199.219,4486
199.329,4486
199.438,4486
199.547,4486
199.657,4486
199.766,4486
199.875,4486
199.969,4486
200.079,4486
200.188,4486
200.297,4486
200.407,4486
200.516,4486
200.625,4486
200.719,4486
200.829,4486
200.938,4486
201.047,4486
201.157,4486
201.266,4486
201.36,4486
201.469,4486
201.579,4486
201.688,4486
201.797,4486
201.891,4486
202.0,4486
202.11,4486
202.219,4486
202.329,4486
202.438,4486
202.547,4486
202.657,4486
202.75,4486
202.86,4486
202.969,4486
203.079,4486
203.188,4486
203.297,4486
203.391,4486
203.5,4486
203.61,4486
203.719,4486
203.829,4486
203.922,4486
204.032,4486
204.141,4486
204.25,4486
204.36,4486
204.469,4486
204.579,4486
204.672,4486
204.782,4486
204.891,4486
205.0,4486
205.11,4486
205.204,4486
205.313,4486
205.422,4486
205.532,4486
205.641,4486
205.75,4486
205.844,4486
205.954,4486
206.063,4486
206.172,4486
206.282,4486
206.391,4486
206.485,4486
206.594,4486
206.704,4486
206.813,4486
206.922,4486
207.016,4486
207.125,4486
207.235,4486
207.344,4486
207.454,4486
207.547,4486
207.657,4486
207.766,4486
207.875,4486
207.985,4486
208.079,4486
208.188,4486
208.297,4486
208.407,4486
208.516,4486
208.625,4486
208.719,4486
208.829,4486
208.938,4486
209.047,4486
209.157,4486
209.266,4486
209.36,4486
209.469,4486
209.579,4486
209.688,4486
209.797,4486
209.891,4486
210.0,4486
210.11,4486
210.219,4486
210.329,4486
210.438,4486
210.532,4486
210.641,4486
210.75,4486
210.86,4486
210.969,4486
211.063,4486
211.172,4486
211.282,4486
211.391,4486
211.5,4486
211.61,4486
211.719,4486
211.813,4486
211.922,4486
212.032,4486
212.141,4486
212.25,4486
212.344,4486
212.454,4486
